Industry,Company
Pertambangan, Adaro Energy Indonesia Tbk.
Pertambangan,Aneka Tambang Tbk.
Pertambangan,Atlas Resources Tbk.
Pertambangan,Astrindo Nusantara Infrastruktur Tbk.
Pertambangan,Borneo Olah Sarana Sukses Tbk.
Pertambangan,Bumi Resources Minerals Tbk.
