Emitten,DER,Operating Profit Margin,Return On Asset,Sales Growth,Category
ADOOY,0.360524772, 0.39311191 ,0.123039393,0.57513486 ,
ANTM.JK, 0.308143629, 0.08665164 , 0.056560162,0.404535561 ,
ARII.JK , 3.566633586 , -0.33904175 , -0.038650007 , -0.328694489 ,
BIPI.JK , 2.112888292 , 1.19197065 , 0.015115894 , 0.107549938 ,
BOSS.JK , 3.296169404 , 0.53703489 , -0.151998089 , -0.371776683 ,
BRMS.JK , 0.061521993 , 1.65939597 , 0.006722855 , 0.870432638 ,
