Date,Open,High,Low,Close,Adj Close,Volume
2021-04-15,1340.000000,1345.000000,1330.000000,1335.000000,1261.650635,8866700
2021-04-16,1340.000000,1350.000000,1325.000000,1330.000000,1256.925293,13016300
2021-04-19,1330.000000,1335.000000,1310.000000,1315.000000,1242.749512,25386600
2021-04-20,1310.000000,1350.000000,1305.000000,1345.000000,1271.101196,27562800
2021-04-21,1345.000000,1350.000000,1320.000000,1325.000000,1252.200073,25476200
2021-04-22,1320.000000,1335.000000,1310.000000,1315.000000,1242.749512,30967600
2021-04-23,1315.000000,1320.000000,1300.000000,1305.000000,1233.298828,35081600
2021-04-26,1310.000000,1315.000000,1300.000000,1300.000000,1228.573608,21604500
2021-04-27,1305.000000,1315.000000,1295.000000,1295.000000,1223.848267,23687700
2021-04-28,1300.000000,1330.000000,1295.000000,1325.000000,1252.200073,18446600
2021-04-29,1340.000000,1340.000000,1305.000000,1310.000000,1238.024170,14036100
2021-04-30,1310.000000,1330.000000,1310.000000,1320.000000,1247.474731,19502400
2021-05-03,1320.000000,1320.000000,1300.000000,1305.000000,1233.298828,19538700
2021-05-04,1310.000000,1310.000000,1290.000000,1300.000000,1228.573608,27827100
2021-05-05,1305.000000,1310.000000,1290.000000,1300.000000,1228.573608,27010800
2021-05-06,1310.000000,1315.000000,1295.000000,1300.000000,1228.573608,34051000
2021-05-07,1300.000000,1310.000000,1290.000000,1290.000000,1219.123047,28721600
2021-05-10,1300.000000,1305.000000,1290.000000,1295.000000,1223.848267,25797500
2021-05-11,1295.000000,1300.000000,1290.000000,1300.000000,1228.573608,18090300
2021-05-17,1300.000000,1305.000000,1255.000000,1255.000000,1186.046021,60384000
2021-05-18,1260.000000,1275.000000,1255.000000,1260.000000,1190.771362,18875100
2021-05-19,1260.000000,1260.000000,1220.000000,1220.000000,1152.969116,49634100
2021-05-20,1220.000000,1270.000000,1220.000000,1255.000000,1186.046021,35049100
2021-05-21,1260.000000,1270.000000,1245.000000,1250.000000,1181.320801,23355000
2021-05-24,1250.000000,1270.000000,1250.000000,1260.000000,1190.771362,18867700
2021-05-25,1260.000000,1280.000000,1260.000000,1270.000000,1200.221924,31138400
2021-05-27,1280.000000,1305.000000,1275.000000,1290.000000,1219.123047,49321600
2021-05-28,1300.000000,1300.000000,1260.000000,1275.000000,1204.947144,31952500
2021-05-31,1285.000000,1290.000000,1260.000000,1270.000000,1200.221924,32660000
2021-06-02,1280.000000,1315.000000,1280.000000,1305.000000,1233.298828,70779900
2021-06-03,1310.000000,1325.000000,1295.000000,1305.000000,1233.298828,72959500
2021-06-04,1305.000000,1325.000000,1305.000000,1315.000000,1242.749512,45918600
2021-06-07,1325.000000,1330.000000,1310.000000,1325.000000,1252.200073,76955000
2021-06-08,1260.000000,1265.000000,1235.000000,1235.000000,1235.000000,99593500
2021-06-09,1230.000000,1240.000000,1200.000000,1200.000000,1200.000000,87679800
2021-06-10,1235.000000,1245.000000,1210.000000,1215.000000,1215.000000,65548900
2021-06-11,1220.000000,1225.000000,1200.000000,1205.000000,1205.000000,41584200
2021-06-14,1205.000000,1215.000000,1180.000000,1180.000000,1180.000000,57098200
2021-06-15,1185.000000,1205.000000,1175.000000,1180.000000,1180.000000,47759000
2021-06-16,1190.000000,1215.000000,1175.000000,1180.000000,1180.000000,65089700
2021-06-17,1180.000000,1190.000000,1160.000000,1160.000000,1160.000000,49752800
2021-06-18,1160.000000,1160.000000,1120.000000,1125.000000,1125.000000,74520700
2021-06-21,1115.000000,1120.000000,1090.000000,1105.000000,1105.000000,53427100
2021-06-22,1100.000000,1140.000000,1100.000000,1125.000000,1125.000000,31491000
2021-06-23,1130.000000,1140.000000,1115.000000,1115.000000,1115.000000,29222600
